vid_id,length,name,test_set,eval_set,train_set
0,1966,9624HD Bin.01-H264-480.mp4,,,0
1,1010,7695HD Bin.01-H264-480.mp4,,,0
2,2962,11004HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
3,2047,10333HD Bin.01-H264-1080.mp4,0,,
4,1820,11488HD Bin.01-H264-1080.mp4,0,,
5,2804,11839HD-H264 MP4 1080p25 12MBs .mp4,0,,
6,2583,11681hd-20161003-122242-H264 MP4 1080p25 12MBs .mp4,0,,
7,2937,8870HD Bin.01-H264-480.mp4,,,0
8,2877,7860HD-H264-480.mp4,,,0
9,2694,8610HD Bin.01-H264-480.mp4,,,0
10,1627,9955HD Bin.01-H264-480.mp4,,,0
11,1407,8123HD Bin.01-H264-480.mp4,,,0
12,4056,11115HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
13,3643,11368HD Bin.01-H264-1080.mp4,0,,
14,2017,8554HD Bin.02-H264-480.mp4,,,0
15,1753,7964HD Bin.01-H264-480.mp4,,,0
16,2649,8148HD Bin.01-H264-480.mp4,0,,
17,2470,11450HD Bin.01-H264-1080.mp4,0,,
18,1517,10586HD Bin.01-H264-1080.mp4,0,,
19,4570,9642HD Bin.01-H264-480.mp4,,,0
20,1704,7535HD Bin.01-H264-480.mp4,,,0
21,3152,10367HD Bin.01-H264-1080.mp4,0,,
22,2026,9443HD Bin.01-H264-480.mp4,,,0
23,3079,7654HD Bin.01-H264-480.mp4,,,0
24,3907,10920HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
25,3410,10206HD Bin.01-H264-1080.mp4,,,0
26,912,11816HD-H264 MP4 1080p25 12MBs .mp4,0,,
27,2252,8353HD Bin.01-H264-480.mp4,,,0
28,1232,12029HD-H264 MP4 1080p25 12MBs .mp4,0,,
29,1252,7932HD Bin.01-H264-480.mp4,,0,
30,1477,11847HD-H264 MP4 1080p25 12MBs .mp4,0,,
31,3155,11657HD-20160926-142922-H264 MP4 1080p25 12MBs .mp4,0,,
32,3747,8611HD Bin.01-H264-480.mp4,,,0
33,1990,8897HD Bin.01-H264-480.mp4,,0,
34,1461,7487HD Bin.01-H264-480.mp4,,,0
35,3766,11476HD Bin.01-H264-1080.mp4,0,,
36,2350,11067HD Bin.01-H264-1080.mp4,0,,
37,2274,12059HD-H264 MP4 1080p25 12MBs .mp4,0,,
38,3009,9081HD Bin.01-H264-480.mp4,,0,
39,1187,9674HD Bin.01-H264-480.mp4,,,0
40,1764,8714HD Bin.01-H264-480.mp4,,,0
41,2720,11002HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
42,3204,11032HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
43,1553,9152HD Bin.01-H264-480.mp4,,,0
44,2526,9361HD Bin.01-H264-480.mp4,,,0
45,2101,9292HD Bin.01-H264-480.mp4,,,0
46,1569,8132HD-H264-480.mp4,,,0
47,1893,11585HD-Vesicule-20160907-083348-H264 MP4 1080p25 12MBs .mp4,0,,
48,986,9357HD Bin.01-H264-480.mp4,,,0
49,1814,10254HD Bin.01-H264-1080.mp4,0,,
50,1949,10904HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
51,1711,7013HD Bin.01-H264-480.mp4,,0,
52,3902,11168HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
53,1994,7754HD Bin.01-H264-480.mp4,,0,
54,2391,9531HD Bin.01-H264-480.mp4,,,0
55,3381,8070HD Bin.01-H264-480.mp4,,,0
56,1484,11686HD-20161004-083701-H264 MP4 1080p25 12MBs .mp4,0,,
57,2811,10514HD Bin.01-H264-1080.mp4,0,,
58,1801,11132HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
59,1671,7719HD Bin.01-H264-480.mp4,,,0
60,2066,7348HD Bin.01-H264-480.mp4,,0,
61,5742,7207HD Bin.01-H264-480.mp4,,,0
62,2642,10022HD Bin.01-H264-480.mp4,,,0
63,3038,8040HD Bin.01-H264-480.mp4,,,0
64,3019,7687hD Bin.01-H264-480.mp4,,,0
65,1397,8038HD Bin.01-H264-480.mp4,,,0
66,2355,7947HD Bin.01-H264-480.mp4,,,0
67,2922,10362HD Bin.01-H264-1080.mp4,0,,
68,1959,9066HD Bin.01-H264-480.mp4,,,0
69,1349,9764HD Bin.01-H264-480.mp4,,,0
70,919,7697HD Bin.01-H264-480.mp4,,,0
71,2299,8906HD Bin.01-H264-480.mp4,,,0
72,1125,8561HD Bin.01-H264-480.mp4,,,0
73,1219,8826HD Bin.01-H264-480.mp4,,,0
74,1076,8117HD Bin.01-H264-480.mp4,,,0
75,1370,10981HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
76,2009,8667HD Bin.01-H264-480.mp4,,,0
77,2442,10921HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
78,2123,10455HD Bin.01-H264-1080.mp4,0,,
79,1669,11333HD Bin.01-H264-1080.mp4,0,,
80,4403,9412HD Bin.01-H264-480.mp4,,,0
81,741,10133HD Bin.01-H264-1080.mp4,,,0
82,1827,9245HD Bin.01-H264-480.mp4,,,0
83,2499,9823HD Bin.01-H264-480.mp4,0,,
84,2206,8577HD Bin.01-H264-480.mp4,,,0
85,3094,9128HD Bin.01-H264-480.mp4,,,0
86,1088,8852HD Bin.01-H264-480.mp4,,,0
87,1145,9054HD Bin.011-H264-480.mp4,,,0
88,1664,8823HD Bin.01-H264-480.mp4,,,0
89,1260,8834HD Bin.01-H264-480.mp4,,,0
90,3427,9529HD Bin.01-H264-480.mp4,,,0
91,1818,9559HD Bin.01-H264-480.mp4,,,0
92,1717,10241HD Bin.01-H264-1080.mp4,,,0
93,1689,8425HD Bin.01-H264-480.mp4,,,0
94,3561,7699HD Bin.01-H264-480.mp4,,0,
95,2568,7201HD Bin.01-H264-480.mp4,,0,
96,997,11670HD-20160929-084534-H264 MP4 1080p25 12MBs .mp4,0,,
97,2347,9606HD Bin.01-H264-480.mp4,,0,
98,3276,9102HD Bin.01-H264-480.mp4,,,0
99,2509,9680HD Bin.01-H264-480.mp4,,,0
100,1903,8186HD Bin.01-H264-480.mp4,,,0
101,1467,7301HD Bin.01-H264-480.mp4,,,0
102,2610,10595HD Bin.01-H264-1080.mp4,0,,
103,3100,9762HD Bin.01-H264-480.mp4,,,0
104,4414,7414HD Bin.01-H264-480.mp4,,,0
105,2625,9285HD Bin.01-H264-480.mp4,,,0
106,2244,10627HD Bin.02-H264-1080.mp4,0,,
107,2573,7515HD Bin.011-H264-480.mp4,,,0
108,2041,8307HD Bin.01-H264-480.mp4,,,0
109,2075,10962HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
110,1568,8088HD Bin.01-H264-480.mp4,,0,
111,2202,7345HD-H264-480.mp4,,,0
112,1031,9169HD Bin.01-H264-480.mp4,,,0
113,2500,10031HD Bin1.01-H264-480.mp4,,,0
114,2358,7982HD Bin.01-H264-480.mp4,,,0
115,5987,9333HD Bin 01-H264-480.mp4,,,0
116,1158,11037HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
117,1867,9544HD Bin.01-H264-480.mp4,,,0
118,2285,11317HD Bin.01-H264-1080.mp4,0,,
119,1917,9966HD Bin.01-H264-480.mp4,,,0
